URLs successfully downloaded, Size in kilobytes, # outlinks found, Content-type
https://www.dailymail.co.uk/news/article-5208849/amp/El-Chapos-wife-visits-jail-Christmas.html,279,763,text/html
https://www.dailymail.co.uk/news/article-6337269/Syrian-accused-gang-raping-girl-14-warrant-arrest.html?ns_mchannel=rss&amp,526,992,text/html
https://www.dailymail.co.uk/news/article-5671191/Bill-Cosby-said-mentally-preparing-prison.html,523,988,text/html
https://www.dailymail.co.uk/news/article-6566735/Americans-tax-refunds-usual-Trump-administration-says.html,527,988,text/html
https://www.dailymail.co.uk/news/article-6608669/amp/The-Queen-92-drives-Range-Rover-without-seatbelt.html,264,763,text/html
https://www.dailymail.co.uk/news/article-5662043/Photographer-snapped-presidents-ladies-Barbara-Bushs-funeral-talks-camera-interactions.html,220,195,text/html
https://www.dailymail.co.uk/news/article-6484461/Michelle-Obama-appear-20-000-fans-Londons-O2-Arena-year.html,534,1002,text/html
https://www.dailymail.co.uk/news/article-6702319/Better-flowers-chocolates-Subway-giving-away-free-COOKIES-Valentines-Day.html?mrn_rm=rta,513,980,text/html
https://www.dailymail.co.uk/news/article-6337545/Pregnant-Russian-woman-gives-birth-checkouts-supermarket-Omsk-region.html,513,980,text/html
https://www.dailymail.co.uk/news/article-6616381/Brexit-Britain-pace-biggest-economies-Europe.html?ns_mchannel=rss&amp,518,983,text/html
https://www.dailymail.co.uk/news/article-6676179/amp/ANDREW-PIERCE-Donald-Tusks-jibe-juvenile-spiteful-offered-proof-leave.html,268,764,text/html
https://www.dailymail.co.uk/news/article-6540747/Obamas-wall-home-Trump-uses-former-couple-argue-border-barrier.html?ns_mchannel=rss&amp,187,209,text/html
https://www.dailymail.co.uk/news/article-6611965/amp/Labour-membership-plunges-150-000-amid-backlash-Corbyns-handling-Brexit.html,266,764,text/html
https://www.dailymail.co.uk/news/article-6210211/Lily-Allen-admits-foolish-apologise-behalf-Britain-refugee-crisis.html?ns_mchannel=rss&amp,513,982,text/html
https://www.dailymail.co.uk/news/article-6194241/Michelle-Obama-charging-3-000-VIP-tickets-book-tour-memoir-Becoming.html,522,985,text/html
https://www.dailymail.co.uk/news/article-5846729/Bill-Cosby-fires-entire-legal-team-lead-sentencing-jury-guilty-assault.html,515,981,text/html
https://www.dailymail.co.uk/news/article-6622629/Angela-Merkel-brands-Britains-relationship-EU-patchy.html,514,981,text/html
https://www.dailymail.co.uk/news/article-6692953/amp/The-plane-shrunk-world-behemoth-turned-air-travel-luxury-holiday.html?ico=amp_articleRelated,291,764,text/html
https://www.dailymail.co.uk/news/article-5777109/Wife-Mexican-cartel-kingpin-El-Mencho-arrested.html,511,982,text/html
https://www.dailymail.co.uk/news/article-5326489/Michelle-Obama-appear-Ellen-week.html,546,1037,text/html
https://www.dailymail.co.uk/news/article-6334503/Republicans-Pence-Ryan-SPLIT-Trump-plan-end-birthright-citizenship-illegals-own.html?ns_mchannel=rss&amp,551,996,text/html
https://www.dailymail.co.uk/news/article-5688511/Cosby-Polanski-expelled-Academy-Motion-Pictures.html,516,988,text/html
https://www.dailymail.co.uk/news/article-6037117/Barack-Michelle-Obama-kick-Marthas-Vineyard-getaway-new-restaurant.html,515,985,text/html
https://www.dailymail.co.uk/news/article-6206303/Illegal-immigrant-accused-murdering-crew-mate-fishing-boat.html?ns_mchannel=rss&amp,508,980,text/html
https://www.dailymail.co.uk/news/article-6569257/Networks-air-Democratic-response-Trumps-border-wall-speech.html,536,987,text/html
https://www.dailymail.co.uk/news/article-6702605/Judge-finds-Manafort-lied-investigators-Russia-probe.html?mrn_rm=rta,563,1003,text/html
https://www.dailymail.co.uk/news/article-6392543/Four-year-old-boy-23-illegal-immigrants-caught-trying-enter-UK.html?ns_mchannel=rss&amp,511,980,text/html
https://www.dailymail.co.uk/news/article-6611461/Downing-Street-warns-concerning-moves-rebel-MPs-TWO-groups-try-frustrate-Brexit-plans.html?ns_mchannel=rss&amp,535,986,text/html
https://www.dailymail.co.uk/news/article-6693623/amp/Loved-ones-remember-Nashville-musician-killed-robbery.html,271,764,text/html
https://www.dailymail.co.uk/news/article-6621285/amp/Theresa-orders-MPs-vote-amendments-stop-No-Deal-Brexit.html,273,766,text/html
https://www.dailymail.co.uk/news/article-5774637/Drake-slams-Pusha-T-diss-track-DAY-rapper-makes-jide-ghost-writer.html,513,983,text/html
